"Google the RGB code of the color you want, and then put it next to the Associated name of department, spelt the same (Can use this: https://color.adobe.com/) Also don't remove this line or the next			",,,
Department,R,G,B
Sheffield Institute of Arts,255,0,0
Art and Design,0,255,0
Computing,255,255,0
Media Arts and Communication,0,0,255
Engineering and Mathematics,255,0,255
All,0,255,255
